Snap SubfindID redshift Mstar SFR IsCentral
99 46 0.0000 1.945197e+10 0.0000 0
99 47 0.0000 2.025458e+10 0.0000 0
99 48 0.0000 7.668973e+09 0.9858 0
99 49 0.0000 2.130229e+10 0.0000 0
99 50 0.0000 1.985749e+10 0.3390 0
99 51 0.0000 9.522854e+09 1.9252 0
99 52 0.0000 1.976212e+10 0.4588 0
99 53 0.0000 3.160406e+10 0.0000 0
99 54 0.0000 1.347495e+10 1.6096 0
99 55 0.0000 3.216214e+10 0.0000 0
99 56 0.0000 1.517147e+10 0.0000 0
99 57 0.0000 2.675903e+10 0.0000 0
99 58 0.0000 2.739939e+10 0.0000 0
99 59 0.0000 2.216899e+10 0.0000 0
99 60 0.0000 3.402477e+10 0.0000 0
99 61 0.0000 6.847812e+09 0.1903 0
99 62 0.0000 7.809419e+09 0.4355 0
99 63 0.0000 3.379996e+10 0.0000 0
99 64 0.0000 8.212047e+09 0.7710 0
99 65 0.0000 1.047785e+10 0.0000 0
99 66 0.0000 2.654090e+10 0.0000 0
99 67 0.0000 2.124405e+10 0.0000 0
99 68 0.0000 1.878394e+10 0.0000 0
99 69 0.0000 6.549325e+09 0.4490 0
99 70 0.0000 1.356717e+10 0.0000 0
99 71 0.0000 1.607487e+10 0.0821 0
99 72 0.0000 1.651769e+10 4.4578 0
99 73 0.0000 1.342123e+10 0.0531 0
99 74 0.0000 2.094867e+10 0.0000 0
99 75 0.0000 9.559980e+09 0.0000 0
99 76 0.0000 8.739440e+09 0.0000 0
99 77 0.0000 6.373307e+09 0.0000 0
99 78 0.0000 9.072156e+09 0.0000 0
99 79 0.0000 1.395192e+10 0.0000 0
99 80 0.0000 2.471299e+10 0.0000 0
99 81 0.0000 2.365676e+10 0.0000 0
99 82 0.0000 1.574948e+10 1.7101 0
99 83 0.0000 1.270050e+10 0.0000 0
99 85 0.0000 1.127479e+10 0.0000 0
99 86 0.0000 7.094103e+09 0.1698 0
99 87 0.0000 2.525224e+10 0.0000 0
99 89 0.0000 2.878452e+10 0.0000 0
99 90 0.0000 1.431948e+10 0.0000 0
99 91 0.0000 1.268786e+10 0.0000 0
99 92 0.0000 2.521482e+10 0.0000 0
99 93 0.0000 1.986794e+10 0.0000 0
99 94 0.0000 5.380431e+09 0.0000 0
99 95 0.0000 1.053411e+10 0.1105 0
99 96 0.0000 2.460172e+10 0.0000 0
99 97 0.0000 1.022247e+10 0.4755 0
99 98 0.0000 8.101743e+09 0.5914 0
99 99 0.0000 8.860021e+09 0.0000 0
99 100 0.0000 9.178617e+09 0.0000 0
99 101 0.0000 2.069560e+10 0.0000 0
99 102 0.0000 5.062399e+09 1.0723 0
99 103 0.0000 1.007632e+10 0.0000 0
99 105 0.0000 1.791691e+10 0.0000 0
99 106 0.0000 3.995969e+09 0.1209 0
99 107 0.0000 5.993549e+09 0.0000 0
99 108 0.0000 2.353863e+10 0.0000 0
99 109 0.0000 1.285022e+10 0.0000 0
99 110 0.0000 8.419268e+09 0.0000 0
99 111 0.0000 9.545868e+09 1.0740 0
99 112 0.0000 1.402671e+10 0.1755 0
99 113 0.0000 4.662465e+09 0.3510 0
99 114 0.0000 1.121679e+10 0.0000 0
99 117 0.0000 9.859805e+09 0.0000 0
99 120 0.0000 1.075572e+10 0.0000 0
99 121 0.0000 5.091778e+09 0.0000 0
99 123 0.0000 4.736015e+09 0.2639 0
99 124 0.0000 8.853672e+09 0.0000 0
99 127 0.0000 1.182917e+10 0.0000 0
99 128 0.0000 9.031665e+09 0.0000 0
99 129 0.0000 8.804067e+09 0.0000 0
99 131 0.0000 8.492115e+09 0.0000 0
99 132 0.0000 4.548727e+09 0.1991 0
99 133 0.0000 1.106321e+10 0.0000 0
99 137 0.0000 7.366821e+09 0.0000 0
99 138 0.0000 7.932330e+09 3.2722 0
99 141 0.0000 4.655699e+09 0.0000 0
99 143 0.0000 3.851122e+09 0.4308 0
99 144 0.0000 3.362033e+09 0.5809 0
99 145 0.0000 3.313965e+09 0.0000 0
99 146 0.0000 8.319830e+09 0.0000 0
99 147 0.0000 4.254810e+09 0.0000 0
99 149 0.0000 6.314617e+09 0.0000 0
